dataset,frame,green_dominance,repetitiveness,cleared,inliers
isaac-sim-20260630_152940,1690,9.367552757263184,0.26540708541870117,False,0
isaac-sim-20260630_152940,13660,7.382787704467773,0.28210243582725525,True,30
isaac-sim-20260630_152940,25630,9.857820510864258,0.4395162761211395,False,11
isaac-sim-20260630_152940,37610,14.212750434875488,0.22088724374771118,True,75
isaac-sim-20260630_152940,49580,14.60926342010498,0.2137473076581955,True,228
isaac-sim-20260630_152940,61550,16.176105499267578,0.3444788455963135,True,60
isaac-sim-20260630_152940,73530,9.579512596130371,0.37892967462539673,True,88
isaac-sim-20260630_152940,85500,8.169180870056152,0.24305765330791473,True,101
isaac-sim-20260630_152940,97470,16.34375,0.48434263467788696,True,136
isaac-sim-20260630_152940,109440,14.510120391845703,0.21567757427692413,True,157
isaac-sim-20260630_152940,121410,14.88117790222168,0.4946286380290985,True,183
isaac-sim-20260630_152940,133390,13.15279769897461,0.5543582439422607,True,187
isaac-sim-20260630_152940,145360,17.209030151367188,0.28242093324661255,True,159
isaac-sim-20260630_152940,157330,16.25832748413086,0.28134390711784363,True,317
isaac-sim-20260630_152940,169310,16.638559341430664,0.36072561144828796,False,11
isaac-sim-20260630_152940,180010,14.186922073364258,0.18478520214557648,True,32
isaac-sim-20260630_152940,181280,14.93436050415039,0.283484548330307,True,47
isaac-sim-20260630_152940,187800,16.154640197753906,0.27087289094924927,False,19
isaac-sim-20260630_152940,193250,14.173802375793457,0.22507642209529877,True,86
isaac-sim-20260630_152940,195580,15.301254272460938,0.30253875255584717,True,95
isaac-sim-20260630_152940,203370,15.966656684875488,0.3185400068759918,True,60
isaac-sim-20260630_152940,205220,16.075830459594727,0.26747941970825195,True,45
isaac-sim-20260630_152940,211160,16.251985549926758,0.22291934490203857,True,37
isaac-sim-20260630_152940,217190,14.989092826843262,0.3722963333129883,False,29
isaac-sim-20260630_152940,218950,14.911664009094238,0.486215204000473,True,33
isaac-sim-20260630_152940,226730,18.38055992126465,0.3143072724342346,True,81
isaac-sim-20260630_152940,229170,17.8386173248291,0.27306464314460754,False,18
isaac-sim-20260630_152940,234520,11.19901180267334,0.5277991890907288,True,62
isaac-sim-20260630_152940,241140,13.859566688537598,0.38945645093917847,True,49
isaac-sim-20260630_152940,242310,14.437015533447266,0.42380475997924805,True,44
isaac-sim-20260630_152940,250090,12.323089599609375,0.46912574768066406,False,21
isaac-sim-20260630_152940,253110,12.807289123535156,0.7042211890220642,False,7
isaac-sim-20260630_152940,257880,14.218113899230957,0.40797123312950134,False,8
isaac-sim-20260630_152940,265090,13.386545181274414,0.33573591709136963,False,5
isaac-sim-20260630_152940,265670,13.129493713378906,0.3071853220462799,False,10
isaac-sim-20260630_152940,273460,15.378149032592773,0.5143665075302124,False,6
isaac-sim-20260630_152940,277060,17.153657913208008,0.30618831515312195,True,35
isaac-sim-20260630_152940,281240,16.750858306884766,0.15461397171020508,False,4
isaac-sim-20260630_152940,289030,19.014907836914062,0.41972020268440247,False,10
isaac-sim-20260704_205334,1450,23.93362808227539,0.18148304522037506,False,0
isaac-sim-20260704_205334,12160,23.96135139465332,0.17669257521629333,False,5
isaac-sim-20260704_205334,22870,22.39619255065918,0.14650391042232513,False,0
isaac-sim-20260704_205334,33590,21.97247314453125,0.1557309627532959,False,5
isaac-sim-20260704_205334,44300,19.27065658569336,0.10881106555461884,False,4
isaac-sim-20260704_205334,55010,16.981592178344727,0.10697220265865326,False,0
isaac-sim-20260704_205334,65720,17.932254791259766,0.11154969781637192,False,0
isaac-sim-20260704_205334,76430,21.0924072265625,0.08705580979585648,False,0
isaac-sim-20260704_205334,87140,16.97658920288086,0.1192171722650528,False,0
isaac-sim-20260704_205334,97850,20.324975967407227,0.12499314546585083,False,4
isaac-sim-20260704_205334,108570,22.81260108947754,0.08524318784475327,False,0
isaac-sim-20260704_205334,119280,21.867420196533203,0.0994211807847023,False,0
isaac-sim-20260704_205334,129990,23.733308792114258,0.1039394736289978,False,0
isaac-sim-20260704_205334,140700,24.57476806640625,0.09924010932445526,False,5
isaac-sim-20260704_205334,151410,24.845640182495117,0.13856151700019836,False,4
isaac-sim-20260704_205334,162130,25.334535598754883,0.10784175992012024,False,4
isaac-sim-20260704_205334,172840,26.673492431640625,0.09892004728317261,False,4
isaac-sim-20260704_205334,183550,26.22404670715332,0.09193380922079086,False,5
isaac-sim-20260704_205334,194260,26.89896583557129,0.09620083123445511,False,4
isaac-sim-20260704_205334,204970,26.298625946044922,0.09175076335668564,False,4
isaac-sim-20260704_205334,215680,26.439533233642578,0.1102304682135582,False,4
isaac-sim-20260704_205334,226390,26.44502830505371,0.10290289670228958,False,0
isaac-sim-20260704_205334,237110,27.527273178100586,0.09443704783916473,False,5
isaac-sim-20260704_205334,247820,27.05788230895996,0.10226614028215408,False,4
isaac-sim-20260704_205334,258530,27.606380462646484,0.10354061424732208,False,0
isaac-sim-20260704_193743,1710,14.0770902633667,0.8724276423454285,False,0
isaac-sim-20260704_193743,12930,18.556283950805664,0.5529293417930603,False,4
isaac-sim-20260704_193743,24150,26.574691772460938,0.609908938407898,False,5
isaac-sim-20260704_193743,35370,36.361270904541016,0.5981798768043518,False,0
isaac-sim-20260704_193743,46590,17.768169403076172,0.32318559288978577,False,4
isaac-sim-20260704_193743,57810,0.8057851195335388,0.5486338138580322,False,0
isaac-sim-20260704_193743,69030,-0.5169246196746826,0.3009112775325775,False,4
isaac-sim-20260704_193743,80250,21.677034378051758,0.8788556456565857,False,0
isaac-sim-20260704_193743,91470,6.4466071128845215,0.35718876123428345,False,5
isaac-sim-20260704_193743,102690,7.843615531921387,0.2234450727701187,False,15
isaac-sim-20260704_193743,113910,20.053163528442383,0.3838769793510437,False,12
isaac-sim-20260704_193743,125130,18.303741455078125,0.6055129170417786,False,5
isaac-sim-20260704_193743,136350,21.519859313964844,0.37530407309532166,False,0
isaac-sim-20260704_193743,147580,15.571788787841797,0.9059545993804932,False,6
isaac-sim-20260704_193743,158800,29.817520141601562,0.5998765230178833,False,5
isaac-sim-20260704_193743,170020,30.05896759033203,0.2694093883037567,False,5
isaac-sim-20260704_193743,181240,21.9217529296875,0.6304761171340942,False,4
isaac-sim-20260704_193743,192460,23.16171646118164,0.48709818720817566,False,0
isaac-sim-20260704_193743,203680,-6.761988162994385,0.30192628502845764,True,111
isaac-sim-20260704_193743,214900,-4.890705585479736,0.3360123336315155,False,5
