dataset,frame,sample_idx,agl_m,zoom,gyro_mag,blur_score,texture_score,kp_query,kp_window,matches,inliers,cleared_min_inliers,note
isaac-sim-20260705_230815,1620,161,10.0252,18,0.26163827240047344,82.55375195018327,149.50026339197137,27,1488,0,0,False,
isaac-sim-20260705_230815,11170,1116,69.1162,18,0.16140240438245704,559.8521301481,148.43234106557165,1593,1494,5,0,False,
isaac-sim-20260705_230815,20720,2071,76.419,18,0.18839202702415064,439.4013154303626,149.5369492542893,1580,1503,6,0,False,
isaac-sim-20260705_230815,30270,3026,59.3568,18,0.054186667125863404,374.1240435998234,144.19884009977196,966,1493,26,5,False,
isaac-sim-20260705_230815,39810,3980,68.3454,18,0.21779700025904083,309.71009103804676,150.49627176870746,1584,1506,11,5,False,
isaac-sim-20260705_230815,49360,4935,68.56479999999999,18,0.054170559155218345,364.65072495214844,154.41275361900512,1450,1453,44,9,False,
isaac-sim-20260705_230815,58910,5890,65.3662,18,0.09441152811018315,352.66499755207127,149.696659620702,1517,1476,15,5,False,
isaac-sim-20260705_230815,68460,6845,80.5338,18,0.12311522263308976,415.81479556567075,151.19255518933846,1600,1476,9,4,False,
isaac-sim-20260705_230815,78010,7800,67.4044,18,0.08499186696040567,348.69765008764654,153.12498148687243,1520,1464,25,7,False,
isaac-sim-20260705_230815,87550,8754,65.7188,18,0.04143940341769029,425.21103780765037,144.46693865952844,1346,1500,5,0,False,
isaac-sim-20260705_230815,97100,9709,69.186,18,0.09283006835719884,429.617787921004,145.018276580352,1638,1491,30,6,False,
isaac-sim-20260705_230815,106650,10664,72.4104,18,0.07338865487422337,432.3658789866778,143.05024234688855,1610,1485,9,4,False,
isaac-sim-20260705_230815,116200,11619,72.5112,18,0.10790160961658661,424.322017855312,141.54281275155898,1608,1462,11,4,False,
isaac-sim-20260705_230815,125750,12574,70.2512,18,0.2109267759822805,465.77494954282105,136.8653030771322,1595,1483,11,4,False,
isaac-sim-20260705_230815,135300,13529,71.4002,18,0.02406089312621379,427.893944628858,145.4137684980293,1584,1478,7,0,False,
isaac-sim-20260705_230815,144850,14484,67.3912,18,0.2059361739887146,409.396078725393,142.99646170280613,1585,1494,53,7,False,
isaac-sim-20260705_230815,154390,15438,68.3786,18,0.04206282322351416,362.18825661109906,141.2591930939731,1429,1490,11,4,False,
isaac-sim-20260705_230815,163940,16393,64.1776,18,0.11099583048708772,336.5349378911555,144.29872732426304,1229,1512,28,6,False,
isaac-sim-20260705_230815,173490,17348,67.8158,18,0.06617495183277855,509.9752831147249,146.09221938762656,1579,1491,16,5,False,
isaac-sim-20260705_230815,183040,18303,73.42920000000001,18,0.11741088764528501,619.9352486955536,147.8353397104907,1638,1472,17,5,False,
isaac-sim-20260705_230815,192590,19258,64.0308,18,0.25982810526288863,541.7788431225857,154.4377323696145,1489,1488,19,5,False,
isaac-sim-20260705_230815,202130,20212,77.2912,18,0.24326193173872773,616.6714591609971,145.89116863416083,1602,1500,6,0,False,
isaac-sim-20260705_230815,211680,21167,73.21079999999999,18,0.14651984814942662,609.0831788830989,163.2548439847273,1586,1507,40,6,False,
isaac-sim-20260705_230815,221230,22122,62.8678,18,0.08950754462686172,653.3756175545398,167.34303563161174,1477,1479,33,6,False,
isaac-sim-20260705_230815,230780,23077,97.4086,18,0.11813702759101445,676.9320130524691,164.5960205876775,1562,1500,10,4,False,
