dataset,frame,sample_idx,agl_m,zoom,gyro_mag,blur_score,texture_score,kp_query,kp_window,matches,inliers,cleared_min_inliers,note
isaac-sim-20260704_193743,1710,170,10.0352,19,0.11928916702556237,5.777268595184703,100.01877026020335,28,1794,0,0,False,
isaac-sim-20260704_193743,12930,1292,70.1458,19,0.025952479368803242,54.70041624763696,199.41043740887406,1722,1722,9,4,False,
isaac-sim-20260704_193743,24150,2414,68.282,19,0.09054869373682461,142.19582849739282,129.02836516010683,1706,1712,18,5,False,
isaac-sim-20260704_193743,35370,3536,67.4464,19,0.11907932457831594,128.25529778457454,89.12916520720333,1743,1750,4,0,False,
isaac-sim-20260704_193743,46590,4658,58.7874,19,0.08985934632452632,641.7663535833334,281.08944016333663,1671,1678,10,4,False,
isaac-sim-20260704_193743,57810,5780,63.5572,19,0.1026908160331283,220.812571011137,376.4429918598732,1727,1716,5,0,False,
isaac-sim-20260704_193743,69030,6902,69.55460000000001,19,0.09099507611039952,85.47988731322037,218.14564402626215,1708,1704,8,4,False,
isaac-sim-20260704_193743,80250,8024,69.841,19,0.1579331720170337,395.11924028626544,110.18575051625987,1635,1731,6,0,False,
isaac-sim-20260704_193743,91470,9146,74.5296,19,0.07971751903207094,352.7640277896864,485.3873500994936,1681,1657,33,5,False,
isaac-sim-20260704_193743,102690,10268,78.7998,19,0.14386794218850124,279.9483964816623,447.86715475578075,1644,1634,43,15,False,
isaac-sim-20260704_193743,113910,11390,83.4068,19,0.11731613092685447,354.869142591387,255.44509495021163,1669,1643,39,12,False,
isaac-sim-20260704_193743,125130,12512,82.4346,19,0.10435187702107838,396.3727769386544,180.78352436830068,1693,1756,13,5,False,
isaac-sim-20260704_193743,136350,13634,86.993,19,0.1665910523353415,265.40035093532686,202.73923409070164,1656,1647,2,0,False,
isaac-sim-20260704_193743,147580,14757,57.827,19,0.04230318857787561,266.0184876439495,152.91985735878438,1745,1812,12,6,False,
isaac-sim-20260704_193743,158800,15879,60.716,19,0.12707236075539988,271.48010067792427,109.46649472822659,1709,1693,19,5,False,
isaac-sim-20260704_193743,170020,17001,61.508,19,0.059086355909445,168.31534781682822,56.65715969502644,1776,1656,15,5,False,
isaac-sim-20260704_193743,181240,18123,63.2856,19,0.07770036021161429,279.3209536859779,178.57430118959041,1702,1667,10,4,False,
isaac-sim-20260704_193743,192460,19245,62.4176,19,0.06567201871994366,191.89759203114147,123.15882674145989,1726,1737,6,0,False,
isaac-sim-20260704_193743,203680,20367,66.1892,19,0.09220657506165039,444.8198344118441,690.0947321893731,1694,1664,225,111,True,
isaac-sim-20260704_193743,214900,21489,64.91760000000001,19,0.07307801040383075,305.0112284606933,531.332400724163,1650,1622,11,5,False,
isaac-sim-20260704_193743,226120,22611,67.6392,19,0.12384518651610123,235.21704530087771,617.3302592018448,1686,1655,159,54,True,
isaac-sim-20260704_193743,237340,23733,63.214800000000004,19,0.21366748302489857,257.21944885956486,345.84303954650255,1690,1656,9,5,False,
isaac-sim-20260704_193743,248560,24855,70.96,19,0.019366926997894347,161.0651343948176,195.6819549344714,1743,1624,13,4,False,
isaac-sim-20260704_193743,259780,25977,69.7314,19,0.06968158466700868,390.79316594906203,206.69654142949696,1642,1642,8,4,False,
isaac-sim-20260704_193743,271000,27099,69.3696,19,0.12436311907471051,236.02103213625765,128.99895542249104,1766,1658,13,4,False,
