dataset,frame,sample_idx,agl_m,zoom,gyro_mag,blur_score,texture_score,kp_query,kp_window,matches,inliers,cleared_min_inliers,note
isaac-sim-20260704_205334,1450,144,31.482000000000006,18,0.2676951116257979,67.19221699194335,119.58583570503032,250,1517,2,0,False,
isaac-sim-20260704_205334,12160,1215,118.2662,18,0.1341265427696868,718.7294756951648,119.50610399838021,1564,1522,13,5,False,
isaac-sim-20260704_205334,22870,2286,225.9824,18,0.10405864003473521,593.8759056319443,131.32949542660177,1513,1509,3,0,False,
isaac-sim-20260704_205334,33590,3358,239.9686,18,0.11477260922376945,523.7014599322164,128.94162267231238,1528,1514,16,5,False,
isaac-sim-20260704_205334,44300,4429,294.7272,18,0.06869898004422066,314.19291187420123,140.37541748726215,1560,1486,9,4,False,
isaac-sim-20260704_205334,55010,5500,309.2976,18,0.14339594483859391,345.12649235165895,134.80759065531305,1565,1491,1,0,False,
isaac-sim-20260704_205334,65720,6571,345.9582,18,0.10621968921141603,240.55596634403636,114.82905785012217,1620,1503,4,0,False,
isaac-sim-20260704_205334,76430,7642,343.4234,18,0.07587946750139583,288.1266024083448,117.16658570478727,1613,1454,0,0,False,
isaac-sim-20260704_205334,87140,8713,247.70579999999998,18,0.2747735358933049,179.6253802057985,124.88685229387565,1638,1500,5,0,False,
isaac-sim-20260704_205334,97850,9784,301.475,18,0.03239044994037614,245.1051673061222,119.89342509072023,1569,1482,12,4,False,
isaac-sim-20260704_205334,108570,10856,344.497,18,0.06299532203073706,352.4241950376037,113.33474340590912,1519,1488,2,0,False,
isaac-sim-20260704_205334,119280,11927,366.3788,18,0.19974468175732496,264.31015851774686,113.54246055923964,1577,1511,2,0,False,
isaac-sim-20260704_205334,129990,12998,357.45279999999997,18,0.23909826788527205,343.6001192742574,126.53374180501365,1560,1505,6,0,False,
isaac-sim-20260704_205334,140700,14069,358.4468,18,0.09132849568136003,364.86237589332563,126.21007401545653,1544,1468,12,5,False,
isaac-sim-20260704_205334,151410,15140,353.6634,18,0.14076584295650113,293.02387813791233,123.24872022628294,1578,1499,9,4,False,
isaac-sim-20260704_205334,162130,16212,358.5108,18,0.2286561547699017,372.60649823434784,124.8162955786089,1552,1521,9,4,False,
isaac-sim-20260704_205334,172840,17283,360.559,18,0.10276522385158135,373.0795048911284,137.30142900728214,1548,1469,9,4,False,
isaac-sim-20260704_205334,183550,18354,342.4712,18,0.1302281788022799,459.4240360551215,147.49902031849953,1534,1462,14,5,False,
isaac-sim-20260704_205334,194260,19425,355.5422,18,0.11350208177573683,413.61175415942085,147.6529166589458,1568,1476,8,4,False,
isaac-sim-20260704_205334,204970,20496,355.5906,18,0.10765339749888088,460.0955384951775,153.17855535871558,1561,1501,9,4,False,
isaac-sim-20260704_205334,215680,21567,355.5698,18,0.060082577768629374,387.17847348953507,148.4527422909223,1594,1477,9,4,False,
isaac-sim-20260704_205334,226390,22638,345.629,18,0.24698547132036286,507.3307718593749,144.11590171035144,1593,1506,6,0,False,
isaac-sim-20260704_205334,237110,23710,337.5636,18,0.12841407944352073,349.7723220184703,146.09416238523943,1524,1513,12,5,False,
isaac-sim-20260704_205334,247820,24781,328.4334,18,0.09071846086576438,346.12434145828513,145.9490551429108,1572,1513,9,4,False,
isaac-sim-20260704_205334,258530,25852,321.5038,18,0.1806144303183228,504.6226979506173,144.32484802980233,1541,1477,7,0,False,
