dataset,frame,sample_idx,agl_m,zoom,gyro_mag,blur_score,texture_score,kp_query,kp_window,matches,inliers,cleared_min_inliers,note
isaac-sim-20260705_220937,1680,167,10.0076,18,0.16368605316158838,19.86914780785831,21.07737242889408,13,1802,2,0,False,
isaac-sim-20260705_220937,11480,1147,67.9562,18,0.03722323656554817,164.33900385373263,20.039500879231134,961,1802,10,4,False,
isaac-sim-20260705_220937,21270,2126,67.192,18,0.037573691925794205,120.56379775443673,42.61793954701672,1067,1644,6,0,False,
isaac-sim-20260705_220937,31070,3106,58.23,18,0.1863137656601494,464.1454990450907,101.47474314058958,1023,1624,16,5,False,
isaac-sim-20260705_220937,40860,4085,68.6482,18,0.1086979219861792,495.12997773545703,105.99366496595425,1425,1633,23,7,False,
isaac-sim-20260705_220937,50660,5065,63.552,18,0.3253016359101737,421.6902868003442,119.35561923648511,1119,1657,19,5,False,
isaac-sim-20260705_220937,60450,6044,61.2332,18,0.0489016322558497,432.34331588337915,120.04836712018141,967,1659,19,5,False,
isaac-sim-20260705_220937,70250,7024,60.6918,18,0.04908693374996928,609.6484321549208,132.44061221879485,996,1640,42,14,False,
isaac-sim-20260705_220937,80040,8003,57.6548,18,0.07011286733000009,416.09229329419543,136.0195709103954,986,1603,18,6,False,
isaac-sim-20260705_220937,89840,8983,58.079,18,0.02083397447328003,522.6354996597223,111.95146520604037,902,1668,23,7,False,
isaac-sim-20260705_220937,99630,9962,60.8616,18,0.7498907378211996,413.8445129200304,84.27390866508169,978,1681,14,5,False,
isaac-sim-20260705_220937,109430,10942,74.0408,18,0.08157500275303634,208.732668485231,57.92240621310493,1263,1649,25,8,False,
isaac-sim-20260705_220937,119230,11922,81.7028,18,0.13168504565145328,153.37904002940536,40.840416613954254,1736,1678,13,6,False,
isaac-sim-20260705_220937,129020,12901,83.5528,18,0.13622310293184578,274.0777621500651,72.8128627495745,1732,1693,38,10,False,
isaac-sim-20260705_220937,138820,13881,90.9596,18,0.04581496112013595,186.3957733168282,49.96649195276266,1748,1691,21,8,False,
isaac-sim-20260705_220937,148610,14860,96.1344,18,0.11493541329296227,126.6756464061415,27.87555072465104,1773,1743,5,0,False,
isaac-sim-20260705_220937,158410,15840,104.7786,18,0.08433669108046421,240.06049211429095,28.860007085282025,1758,1683,18,7,False,
isaac-sim-20260705_220937,168200,16819,106.789,18,0.039438807196958,152.23727048827826,28.234305156022632,1746,1653,10,4,False,
isaac-sim-20260705_220937,178000,17799,113.4554,18,0.02747292208305083,447.36221749433054,127.39220229237529,1687,1670,14,4,False,
isaac-sim-20260705_220937,187790,18778,115.32379999999999,18,0.16668499518514768,545.8672179481065,165.87639778270236,1705,1656,29,6,False,
isaac-sim-20260705_220937,197590,19758,115.5822,18,0.2568738138577012,674.8336661261093,178.2532568015642,1701,1659,8,4,False,
isaac-sim-20260705_220937,207380,20737,113.3544,18,0.02426965946496378,689.9077405161917,182.55899487764069,1723,1660,14,5,False,
isaac-sim-20260705_220937,217180,21717,110.954,18,0.038874908780718975,643.7934325694173,133.50097256408563,1729,1669,10,4,False,
isaac-sim-20260705_220937,226970,22696,107.29060000000001,18,0.09927161588776062,330.0232748061312,81.35958363024537,1695,1661,35,7,False,
isaac-sim-20260705_220937,236770,23676,102.7358,18,0.15403044250575684,282.8698907279339,69.99761854949038,1756,1661,5,0,False,
